Unnamed: 0,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
124,Hyundai Venue,Hyundai,Venue,2,25000,Individual,Petrol,Manual,18.27,998.0,118.35,5.0,949000.0
14870,Maruti Wagon R,Maruti,Wagon R,5,65000,Individual,CNG,Manual,26.6,998.0,58.16,5.0,315000.0
16749,BMW 3,BMW,3,4,72000,Dealer,Diesel,Automatic,21.76,,188.0,5.0,3300000.0
1869,Hyundai Santro,Hyundai,Santro,1,100,Individual,Petrol,Manual,20.3,,68.0,5.0,475000.0
11416,Hyundai Grand,Hyundai,Grand,7,15000,Individual,Petrol,Manual,,1197.0,82.0,5.0,500000.0
15247,Hyundai i20,Hyundai,i20,2,25000,Individual,Petrol,Manual,18.6,,81.86,5.0,770000.0
6253,Honda Amaze,Honda,Amaze,3,68000,Dealer,Diesel,Manual,24.7,1498.0,98.63,5.0,540000.0
6998,Maruti Vitara,Maruti,Vitara,3,80000,Individual,Diesel,Manual,24.3,,88.5,5.0,830000.0
5449,Jaguar XF,Jaguar,XF,6,60000,Individual,Diesel,Automatic,,2179.0,187.7,5.0,2400000.0
14757,BMW 3,BMW,3,11,95000,Dealer,Diesel,Automatic,,,170.0,5.0,1040000.0
2487,Maruti Alto,Maruti,Alto,2,"7,369",Dealer,Petrol,Automatic,23.95,998.0,67.05,5.0,425000.0
5725,Hyundai i20,Hyundai,i20,3,104000,individual,Diesel,Manual,22.54,1396.0,88.73,5.0,750000.0
15719,Hyundai Verna,Hyundai,Verna,3,50000,Individual,Diesel,Automatic,22.0,1582.0,,5.0,1050000.0
1560,Maruti Alto,Maruti,Alto,13,97000,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,95000.0
19128,Mahindra XUV500,Mahindra,XUV500,6,64000,Dealer,Diesel,Manual,16.0,1997.0,140.0,7.0,945000.0
14185,Hyundai i20,Hyundai,i20,6,70000,Dealer,Diesel,Manual,22.54,1396.0,88.73,5.0,590000.0
18053,Honda City,Honda,City,8,65000,Dealer,Petrol,Manual,17.0,1497.0,118.0,5.0,500000.0
9645,Hyundai Grand,Hyundai,Grand,5,15000,Individual,Petrol,Manual,18.9,1197.0,82.0,5.0,425000.0
9890,Maruti Eeco,Maruti,Eeco,2,25000,Individual,Petrol,Manual,15.37,1196.0,73.0,5.0,385000.0
18921,Skoda Rapid,Skoda,Rapid,7,72000,Dealer,Diesel,Manual,20.5,1598.0,103.5,5.0,485000.0
3776,Maruti Swift Dzire,Maruti,Swift Dzire,7,63000,Dealer,Diesel,Manual,23.4,1248.0,,5.0,595000.0
13382,Volkswagen Polo,Volkswagen,Polo,5,93096,Dealer,Petrol,Manual,16.2,1199.0,74.0,5.0,500000.0
1306,Maruti Wagon R,Maruti,Wagon R,8,58000,Dealer,Petrol,Manual,18.9,998.0,67.1,5.0,248000.0
15379,Honda Jazz,Honda,Jazz,5,30000,Individual,Petrol ,Manual,18.7,1199.0,88.7,5.0,600000.0
15711,Hyundai i20,Hyundai,i20,6,70000,Individual,Diesel,Manual,22.54,1396.0,88.73,5.0,595000.0
8004,Tata Tiago,Tata,Tiago,4,100000,Individual,Petrol,Manual,23.84,1199.0,84.0,,300000.0
12490,Honda City,Honda,City,3,12000,Individual,Petrol ,Manual,17.4,1497.0,117.6,5.0,900000.0
7068,Mercedes-Benz E-Class,Mercedes-Benz,E-Class,11,94000,Dealer,Diesel,Automatic,14.21,,203.0,5.0,1350000.0
15476,Maruti Alto,Maruti,Alto,3,50000,Individual,Petrol,Manual,23.95,998.0,67.05,5.0,390000.0
5851,Hyundai i10,Hyundai,i10,10,45000,Dealer,Petrol,Automatic,19.2,,80.0,5.0,375000.0
3707,Maruti Ciaz,Maruti,Ciaz,3,31000,Dealer,Petrol,Manual,20.65,1462.0,103.25,5.0,799000.0
10070,Maruti Alto,Maruti,Alto,4,50000,Individual,Petrol,Manual,24.7,,47.3,5.0,280000.0
2759,Honda City,Honda,City,11,105000,Dealer,Petrol,Automatic,16.8,1497.0,118.0,5.0,375000.0
13040,Maruti Alto,Maruti,Alto,7,60000,Individual,Petrol,Manual,22.74,796.0,47.3,5.0,200000.0
5903,Maruti Alto,Maruti,Alto,5,70000,Individual,Petrol,Manual,22.74,796.0,47.3,5.0,250000.0
13759,Mercedes-Benz E-Class,Mercedes-Benz,E-Class,4,24000,Dealer,Petrol,Automatic,15.0,1991.0,194.4,5.0,4100000.0
9338,Tata Safari,Tata,Safari,4,50000,Individual,Diesel,Manual,14.1,2179.0,147.94,7.0,890000.0
17821,Maruti Ertiga,Maruti,Ertiga,6,120000,Individual,Diesel,Manual,20.77,1248.0,88.76,7.0,616000.0
15904,Honda City,Honda,City,9,33000,Dealer,Petrol,Manual,17.4,,117.3,5.0,675000.0
16889,Maruti Wagon R,Maruti,Wagon R,6,42100,Dealer,CNG,Manual,26.6,998.0,58.16,5.0,375000.0
10026,Mahindra Bolero,Mahindra,Bolero,5,50000,Individual,Diesel,Manual,16.5,1493.0,70.0,7.0,650000.0
17327,BMW 3,BMW,3,6,45833,Dealer,Diesel,Automatic,19.59,,187.74,5.0,2700000.0
5296,Maruti S-Presso,Maruti,S-Presso,2,5000,Individual,Petrol,Manual,21.7,998.0,67.0,5.0,420000.0
15001,Hyundai Verna,Hyundai,Verna,2,9100,Dealer,Diesel,Manual,22.0,1582.0,126.2,5.0,1325000.0
14985,Honda Jazz,Honda,Jazz,5,103000,Dealer,Diesel,Manual,27.3,1498.0,98.6,5.0,625000.0
7056,Datsun RediGO,Datsun,RediGO,5,11995,Dealer,Petrol,Manual,22.7,799.0,53.64,5.0,330000.0
17953,Mahindra Scorpio,Mahindra,Scorpio,6,110000,Individual,Diesel,Manual,15.4,1997.0,120.0,7.0,900000.0
17791,Maruti Alto,Maruti,Alto,4,26000,Dealer,CNG,Manual,,,40.3,4.0,300000.0
8559,Maruti Ertiga,Maruti,Ertiga,3,80000,Individual,Diesel,Manual,24.52,,88.5,7.0,930000.0
4871,Mahindra XUV500,Mahindra,XUV500,6,42000 kms,Dealer,Diesel,Manual,15.1,2179.0,140.0,7.0,950000.0
10075,Hyundai Verna,Hyundai,Verna,6,57000,Dealer,Diesel,Manual,22.32,1582.0,126.32,5.0,599000.0
16319,Mahindra KUV,Mahindra,KUV,5,25000,Individual,Petrol,Manual,18.15,1198.0,82.0,6.0,500000.0
19039,Maruti Alto,Maruti,Alto,5,78950,Dealer,CNG,Manual,30.46,796.0,47.3,5.0,299000.0
16268,Maruti Swift,Maruti,Swift,9,80000,Individual,Diesel,Manual,22.9,1248.0,74.0,5.0,485000.0
14522,Mahindra Scorpio,Mahindra,Scorpio,6,83000,Dealer,Diesel,Manual,15.4,1997.0,120.0,7.0,850000.0
4524,Mercedes-Benz E-Class,Mercedes-Benz,E-Class,9,33999,Dealer,Petrol,Manual,12.3,1796.0,185.0,5.0,1350000.0
11552,Honda WR-V,Honda,WR-V,3,22000,Dealer,Diesel,Manual,25.5,1498.0,98.6,5.0,895000.0
10915,Mahindra Scorpio,Mahindra,Scorpio,2,30000,Individual,Diesel,Manual,15.4,2523.0,75.0,7.0,850000.0
16708,Volkswagen Vento,Volkswagen,Vento,4,16219,Dealer,Petrol,Manual,17.69,999.0,108.62,5.0,845000.0
12649,BMW 3,BMW,3,5,69000,Dealer,Diesel,Automatic,22.69,1995.0,190.0,5.0,2100000.0
14883,Maruti Wagon R,Maruti,Wagon R,4,30000,Individual,CNG,Manual,33.54 kmpl,998.0,67.04,5.0,450000.0
14081,Audi A4,Audi,A4,10,100000,Dealer,Diesel,Automatic,16.55,1968.0,147.51,,1150000.0
7283,Maruti Ertiga,Maruti,Ertiga,2,20000,Individual,Diesel,Manual,25.47,1248.0,88.5,7.0,1064000.0
18525,Hyundai Elantra,Hyundai,Elantra,9,78000,Dealer,Diesel,Automatic,19.5,1582.0,126.24,5.0,745000.0
7214,Mercedes-Benz E-Class,Mercedes-Benz,E-Class,7,68000,Dealer,Diesel,Automatic,13.0,2143.0,201.1,,2450000.0
14943,Hyundai Creta,Hyundai,Creta,3,98000,Individual,Diesel,Manual,22.1,1396.0,88.7,5.0,950000.0
5586,Maruti Vitara,Maruti,Vitara,4,53892,Dealer,Diesel,Manual,24.3,1248.0,88.5,5.0,780000.0
12719,Mercedes-Benz S-Class,Mercedes-Benz,S-Class,7,20001,Dealer,Diesel,Automatic,13.5,2987.0,282.0,5.0,5500000.0
15077,Honda Amaze,Honda,Amaze,3,40000,Individual,Petrol,Manual,17.8,,86.7,5.0,610000.0
6834,Datsun redi-GO,Datsun,redi-GO,3,6000,Dealer,Petrol,Automatic,22.0,999.0,67.05,5.0,435000.0
12926,Ford Ecosport,Ford,Ecosport,4,25000,Dealer,Diesel,Manual,23.0,1498.0,98.96,5.0,800000.0
12406,Maruti Ertiga,Maruti,Ertiga,4,44000,Dealer,Diesel,Manual,,1248.0,88.5,7.0,725000.0
12385,Honda City,Honda,City,6,71678,Dealer,Diesel,Manual,,1498.0,98.6,5.0,610000.0
9841,Maruti Swift Dzire,Maruti,Swift Dzire,3,114000,Individual,Petrol,Manual,19.0,1197.0,85.8,5.0,500000.0
17804,Honda City,Honda,City,3,31000,Dealer,Petrol,Manual,17.4,1497.0,117.3,5.0,900000.0
12022,BMW 3,BMW,3,9,60000,Individual,Diesel,Automatic,16.07,,181.0,4.0,950000.0
14618,Maruti Eeco,Maruti,Eeco,5,38640,Dealer,CNG,Manual,15.1,1196.0,73.0,5.0,
8243,Hyundai Grand,Hyundai,Grand,7,56000,Dealer,Diesel,Manual,24.0,1120.0,70.0,5.0,460000.0
2746,Maruti Swift,Maruti,Swift,5,30000,Dealer,Petrol,Manual,22.0,1197.0,81.8,5.0,575000.0
7183,Hyundai i10,Hyundai,i10,5,32886,DEALER,Petrol,Manual,,1197.0,78.9,5.0,449000.0
3332,Volkswagen Polo,Volkswagen,Polo,4,32000 km,Dealer,Diesel,Manual,20.14,1498.0,88.7,5.0,655000.0
16674,Hyundai Verna,Hyundai,Verna,4,100000,Individual,Diesel,Manual,23.9,1582.0,126.2,5.0,839000.0
16149,Maruti Swift,Maruti,Swift,4,37000,Dealer,Petrol,Manual,20.4,1197.0,81.8,5.0,565000.0
15990,Volkswagen Polo,Volkswagen,Polo,5,29200,Dealer,Petrol,Automatic,17.21,1197.0,103.5,5.0,790000.0
1577,Maruti Swift Dzire,Maruti,Swift Dzire,4,15659,Trustmark Dealer,Petrol,Manual,21.21,1197.0,81.8,5.0,625000.0
3036,Honda Jazz,Honda,Jazz,3,14000,Dealer,Petrol,Automatic,19.0,1199.0,88.7,5.0,775000.0
3641,Ford Ecosport,Ford,Ecosport,6,90000,Individual,Petrol,Automatic,15.63,1499.0,110.4,5.0,530000.0
2178,Audi A6,Audi,A6,7,52121,Dealer,Diesel,Automatic,17.68,1968.0,174.33,5.0,1700000.0
16334,Maruti Wagon R,Maruti,Wagon R,6,57000,Dealer,Petrol,Manual,18.9,998.0,67.1,5.0,425000.0
16265,Maruti Wagon R,Maruti,Wagon R,7,71000,Dealer,CNG,Manual,26.2,998.0,58.2,5.0,370000.0
1318,Maruti Alto,Maruti,Alto,11,43000,Individual,Petrol,Manual,19.7,,46.3,5.0,170000.0
17079,Hyundai Creta,Hyundai,Creta,5,55000,Dealer,Diesel,Manual,19.67,1582.0,126.2,5.0,1115000.0
4269,Maruti Swift,Maruti,Swift,4,10000,Dealer,Petrol,Manual,21.21,1197.0,81.8,5.0,550000.0
18702,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,4,45425,Dealer,Diesel,Automatic,19.27,2143.0,167.62,5.0,3375000.0
13337,Tata Safari,Tata,Safari,8,98000,Individual,Diesel,Manual,14.0,2179.0,138.1,,392000.0
15819,Maruti Ciaz,Maruti,Ciaz,7,44000,Dealer,Petrol,Manual,20.73,1373.0,91.2,5.0,585000.0
16188,Ford Figo,Ford,Figo,10,110000,Individual,Diesel,Manual,20.0,,68.0,5.0,250000.0
13230,Tata Nexon,Tata ,Nexon,3,35000,Individual,Petrol,Manual,17.0,1198.0,108.5,5.0,700000.0
14318,Maruti Swift Dzire,Maruti,Swift Dzire,7,46000,Individual,Petrol,Manual,17.5,1298.0,85.8,5.0,
15730,Maruti Wagon R,Maruti,Wagon R,10,50000,Individual,Petrol,Manual,18.9,998.0,67.1,5.0,272000.0
11221,Lexus ES,Lexus,ES,4,24000,Dealer,Petrol,Automatic,22.37,2487.0,214.56,5.0,4700000.0
9454,Mahindra KUV100,Mahindra,KUV100,5,51630,Dealer,Diesel,Manual,,1198.0,77.0,6.0,245000.0
12562,Hyundai Grand,Hyundai,Grand,3,36000,Dealer,Petrol,Manual,18.9,1197.0,81.86,5.0,520000.0
16990,Skoda Rapid,Skoda,Rapid,3,62600,Dealer,DIESEL,Automatic,21.72,1498.0,108.6,5.0,1045000.0
5949,Maruti Swift Dzire,Maruti,Swift Dzire,6,72000,Dealer,Diesel,Manual,26.59,,74.0,5.0,695000.0
13456,Hyundai Santro,Hyundai ,Santro,11,50503,Dealer,Petrol,Manual,17.92,1086.0,62.1,5.0,190000.0
11869,Honda City,Honda,City,11,80000,Individual,Petrol,Manual,17.0,1497.0,118.0,5.0,280000.0
5130,Honda City,Honda,City,4,29000,Dealer,Petrol,Manual,17.8,1497.0,117.3,5.0,1025000.0
19466,Maruti Ertiga,Maruti,Ertiga,8,53080,Dealer,Diesel,Manual,25.47,1248.0,88.5,7.0,475000.0
4794,Volkswagen Vento,Volkswagen,Vento,5,37900,Dealer,Petrol,Automatic,18.19,1197.0,103.2,5.0,749000.0
8908,Maruti Wagon R,Maruti,Wagon R,16,29957,Dealer,Petrol,Manual,18.9,,67.1,5.0,150000.0
12695,Maruti Wagon R,Maruti,Wagon R,6,56931,Dealer,Petrol,Manual,,998.0,67.04,5.0,320000.0
14719,Ford Ecosport,Ford,Ecosport,6,15000,Individual,Diesel,Manual,22.77,1498.0,98.59,5.0,770000.0
17716,Toyota Innova,Toyota,Innova,8,127000,Dealer,Diesel,Manual,12.99,2494.0,100.0,7.0,980000.0
9137,Maruti Swift Dzire,Maruti,Swift Dzire,9,25000,Individual,Petrol,Manual,19.1,1197.0,85.8,5.0,540000.0
14702,Honda Amaze,Honda,Amaze,8,42000,Dealer,Diesel,Manual,25.8,1498.0,98.6,5.0,475000.0
14122,Mahindra XUV500,Mahindra,XUV500,4,74000,Dealer,Diesel,Manual,16.0,2179.0,140.0,7.0,1300000.0
19160,Volkswagen Polo,Volkswagen,Polo,5,80000,Dealer,Petrol,Automatic,,1197.0,103.5,5.0,615000.0
7763,BMW X5,BMW,X5,11,96714,Dealer,Diesel,Automatic,,2993.0,235.0,5.0,1375000.0
11442,Maruti Celerio,Maruti,Celerio,6,11668,Individual,Petrol,Manual,23.1,998.0,67.04,5.0,325000.0
8720,Mahindra Bolero,Mahindra,Bolero,6,99826,Individual,Diesel,Manual,15.96,2523.0,62.1,7.0,525000.0
12834,Maruti Baleno,Maruti,Baleno,3,15155,Dealer,Petrol,Automatic,19.56,1197.0,81.8,5.0,730000.0
13833,Volkswagen Polo,Volkswagen,Polo,7,80000,Dealer,Diesel,Manual,20.14,1498.0,88.8,5.0,325000.0
3653,Hyundai Grand,Hyundai,Grand,5,48303,Dealer,Petrol,Manual,18.9,1197.0,82.0,5.0,455000.0
9344,Maruti Swift Dzire,Maruti,Swift Dzire,3,18000,Dealer,Petrol,Manual,20.85,1197.0,83.14,,650000.0
11528,Hyundai Elantra,Hyundai,Elantra,3,13000,Individual,Petrol,Automatic,14.62,1999.0,149.92,5.0,1575000.0
17974,Maruti Swift Dzire,Maruti ,Swift Dzire,4,90000,Individual,Petrol,Automatic,21.21,1197.0,81.8,5.0,750000.0
18432,Hyundai i10,Hyundai,i10,11,52000,Dealer,Petrol,Manual,20.36,,78.9,5.0,310000.0
16074,Honda City,Honda,City,11,34178,Dealer,Petrol,Manual,17.0,1497.0,118.0,5.0,430000.0
6499,Hyundai i20,Hyundai,i20,6,90000,Individual,Diesel,Manual,22.54,1396.0,88.73,5.0,625000.0
4246,Tata Safari,Tata,Safari,9,100000,Individual,Diesel,Manual,11.57,2179.0,138.1,7.0,260000.0
7309,Maruti Swift Dzire,Maruti,Swift Dzire,13,84500,Individual,Petrol,Manual,17.5,1197.0,85.8,5.0,200000.0
13320,Maruti Baleno,Maruti,Baleno,3,18000,Dealer,Petrol,Automatic,21.4,1197.0,83.1,5.0,670000.0
15091,Maruti Wagon R,Maruti,Wagon R,9,60000,Individual,Petrol,Manual,18.9,998.0,67.1,5.0,300000.0
18566,Ford Ecosport,Ford,Ecosport,5,66000,Individual,Diesel,Manual,22.77,1498.0,98.59,5.0,800000.0
17471,Maruti Ciaz,Maruti,Ciaz,5,49500,Individual,Diesel,Manual,28.09,1248.0,88.5,5.0,
614,Ford Endeavour,Ford,Endeavour,4,62876,Dealer,Diesel,Automatic,,3198.0,197.0,7.0,2875000.0
14981,Maruti Swift,Maruti,Swift,4,49649,Dealer,Diesel,Manual,25.2,1248.0,74.0,5.0,645000.0
19339,Hyundai Verna,Hyundai,Verna,7,106000,Dealer,Petrol,Manual,17.01,1591.0,121.3,5.0,675000.0
23,Maruti Swift Dzire,Maruti,Swift Dzire,5,40000,Individual,Petrol,Manual,20.85,1197.0,83.14,5.0,575000.0
5139,Mahindra Scorpio,Mahindra,Scorpio,3,47000,Dealer,Diesel,Manual,16.36,2179.0,138.13,7.0,1550000.0
12689,Mercedes-Benz E-Class,Mercedes-Benz,E-Class,11,48000,Dealer,Petrol,Manual,11.2,2497.0,203.0,5.0,1050000.0
924,Mahindra XUV500,Mahindra,XUV500,3,20000,Individual,Diesel,Manual,16.0,2179.0,140.0,7.0,1500000.0
4763,Skoda Rapid,Skoda,Rapid,6,55300,Dealer,Diesel,Automatic,21.66,1498.0,103.52,5.0,650000.0
9041,Toyota Innova,Toyota,Innova,5,66240,Dealer,Diesel,Manual,13.68 kmpl,2393.0,147.8,7.0,1675000.0
11623,Maruti Wagon R,Maruti,Wagon R,12,42000,Dealer,Petrol,Manual,18.9,998.0,67.1,5.0,180000.0
5340,Maruti Swift,Maruti,Swift,6,43000,Dealer,Petrol,Manual,22.0,1197.0,81.8,5.0,540000.0
9922,Maruti Alto,Maruti,Alto,8,23460,Dealer,Petrol,Manual,23.95,998.0,67.05,5.0,240000.0
13715,Volkswagen Polo,Volkswagen,Polo,7,71000,Dealer,Petrol,Manual,16.47,1198.0,74.0,5.0,330000.0
10149,Renault KWID,Renault,KWID,2,10000,Individual,Petrol,Manual,25.17,799.0,53.3,5.0,350000.0
18285,Maruti Swift,Maruti,Swift,6,47529,Dealer,Petrol,Manual,21.21,1197.0,81.8,,635000.0
13540,Toyota Innova,Toyota,Innova,2,20000,Dealer,Diesel,Automatic,13.68,2393.0,147.51,7.0,1875000.0
16720,Volkswagen Vento,Volkswagen,Vento,2,15000,Individual,Diesel,Manual,22.27,1498.0,108.6,5.0,900000.0
11892,Ford Aspire,Ford,Aspire,6,41000,Dealer,Diesel,Manual,25.83,1498.0,99.0,5.0,490000.0
10360,Mahindra XUV500,Mahindra ,XUV500,6,80000,Dealer,Diesel,Manual,15.1,2179.0,140.0,7.0,1000000.0
532,Maruti Baleno,Maruti,Baleno,4,50000,Individual,Diesel,Manual,27.39,1248.0,74.0,5.0,560000.0
658,Mahindra Bolero,Mahindra,Bolero,8,80000,Individual,Diesel,Manual,15.96,2523.0,62.1,7.0,470000.0
18675,Hyundai i20,Hyundai,i20,4,34004,Dealer,Petrol,Manual,18.6,1197.0,81.83,5.0,690000.0
14585,Mahindra XUV500,Mahindra,XUV500,5,35000,Individual,Diesel,Manual,16.0,2179.0,140.0,7.0,900000.0
11857,Ford Ecosport,Ford,Ecosport,2,18000,Dealer, Petrol,Manual,15.9,1496.0,120.69,5.0,990000.0
17063,Maruti Ciaz,Maruti,Ciaz,4,27400,Dealer,Petrol,Manual,20.73,1373.0,91.1,5.0,655000.0
11932,Hyundai i20,Hyundai,i20,10,60000,Dealer,Petrol,Manual,17.0,1197.0,80.0,5.0,265000.0
16273,Maruti Swift,Maruti,Swift,8,225000,Individual,Diesel,Manual,22.9,1248.0,74.0,5.0,450000.0
502,Toyota Fortuner,Toyota,Fortuner,3,35000,Dealer,Diesel,Automatic,12.9,2755.0,174.5,7.0,2950000.0
14253,Volkswagen Vento,Volkswagen,Vento,5,17000,Dealer,Petrol,Manual,16.09,1598.0,103.2,5.0,650000.0
14876,Maruti Ciaz,Maruti,Ciaz,5,49184,Dealer,Diesel,Manual,26.82,1498.0,93.87,5.0,740000.0
2854,Hyundai Creta,Hyundai,Creta,5,27700,Dealer,Petrol,Manual,,1591.0,121.3,5.0,820000.0
2881,Toyota Innova,Toyota,Innova,9,130000,Individual,Diesel,Manual,12.99,,100.0,7.0,700000.0
11279,Mahindra Bolero,Mahindra,Bolero,3,22000,Individual,Diesel,Manual,15.96,2523.0,62.1,,780000.0
5797,Maruti Wagon R, Maruti ,Wagon R,6,60000,Individual,Petrol,Automatic,20.51,998.0,67.0,5.0,300000.0
13613,Hyundai Grand,Hyundai,Grand,6,15000,Individual,Petrol,Manual,18.9,1197.0,82.0,5.0,470000.0
14596,Maruti Alto,Maruti,Alto,2,25000,Individual,Petrol,Manual,24.7,796.0,47.3,5.0,300000.0
1333,Maruti Swift Dzire,Maruti,Swift Dzire,8,110000,Individual,Petrol,Manual,,1197.0,85.8,5.0,420000.0
6730,Maruti Swift,Maruti,Swift,6,106452,Dealer,Diesel,Manual,22.9,1248.0,74.0,5.0,525000.0
17216,Hyundai i20,Hyundai,i20,6,70000,Individual,Diesel,Manual,22.54,1396.0,88.73,5.0,440000.0
15422,Maruti Wagon R,Maruti,Wagon R,6,55000,Dealer,CNG,Manual,26.2,998.0,58.2,5.0,295000.0
4494,Datsun RediGO,Datsun,RediGO,5,79000,Dealer,Petrol,Manual,22.7,799.0,53.64,5.0,235000.0
17950,Volkswagen Vento,Volkswagen,Vento,10,145000,Individual,Diesel,Manual,20.54,1598.0,103.6,5.0,200000.0
7095,Volkswagen Polo,Volkswagen,Polo,9,30000,Dealer,Petrol,Manual,16.47,,73.9,5.0,300000.0
18999,Tata Safari,Tata,Safari,8,90000,Dealer,Diesel,Manual,14.0,2179.0,138.1,7.0,490000.0
15166,Skoda Rapid,Skoda,Rapid,5,23000,Dealer,Diesel,Automatic,,1498.0,103.52,5.0,725000.0
5918,Maruti Celerio,Maruti,Celerio,6,19010,Dealer,Petrol,Manual,23.1,998.0,67.04,5.0,431000.0
2720,Maruti Swift Dzire,Maruti,Swift Dzire,10,120000,Dealer,Petrol,Manual,21.21,1197.0,81.8,5.0,324000.0
10108,Tata Safari,Tata,Safari,14,60000,Individual,Diesel,Manual,13.93,,138.1,7.0,500000.0
16403,Maruti Swift,Maruti,Swift,13,80000,Individual,Petrol,Manual,16.1,1298.0,88.2,5.0,220000.0
11513,Volkswagen Vento,Volkswagen,Vento,2,10000,Dealer,Petrol,Automatic,18.19,1197.0,103.2,5.0,1150000.0
373,Maruti Swift Dzire,Maruti,Swift Dzire,8,113450,Individual,Diesel,Manual,,1248.0,74.0,5.0,380000.0
18226,BMW 5,BMW ,5,4,12500,Dealer,Diesel,Automatic,22.48,1995.0,187.74,5.0,4175000.0
12294,Maruti Swift,Maruti,Swift,15,84800,Dealer,Petrol,Manual,16.1,,85.0,5.0,185000.0
13132,Maruti Alto,Maruti,Alto,5,50000,Dealer,petrol ,Automatic,23.95,998.0,,5.0,335000.0
13218,Mercedes-Benz CLS,Mercedes-Benz,CLS,2,6000,Dealer,Diesel,Automatic,19.0,1950.0,241.3,5.0,7500000.0
5206,Maruti Baleno,Maruti,Baleno,4,25000,Individual,Petrol,Automatic,21.4,1197.0,83.1,5.0,599000.0
8273,Volkswagen Vento,Volkswagen,Vento,9,79349,Dealer,Diesel,Manual,20.54,1598.0,103.6,5.0,530000.0
